Expert_ID,theme,from,to
Expert_001,Tema 1,Acoplamiento clima-océano,Biología del cambio global
Expert_001,Tema 1,Acoplamiento clima-océano,Cambio climático
Expert_001,Tema 1,Acoplamiento clima-océano,Ciclos biogeoquímicos
Expert_001,Tema 1,Acoplamiento clima-océano,Física oceanográfica
Expert_001,Tema 1,Acoplamiento clima-océano,Paleoclimatología
Expert_001,Tema 1,Acoplamiento clima-océano,Regulación climática
Expert_001,Tema 1,Biología del cambio global,Cambio climático
Expert_001,Tema 1,Biología del cambio global,Ciclos biogeoquímicos
Expert_001,Tema 1,Biología del cambio global,Física oceanográfica
Expert_001,Tema 1,Biología del cambio global,Paleoclimatología
Expert_001,Tema 1,Biología del cambio global,Regulación climática
Expert_001,Tema 1,Cambio climático,Ciclos biogeoquímicos
Expert_001,Tema 1,Cambio climático,Física oceanográfica
Expert_001,Tema 1,Cambio climático,Paleoclimatología
Expert_001,Tema 1,Cambio climático,Regulación climática
Expert_001,Tema 1,Ciclos biogeoquímicos,Física oceanográfica
Expert_001,Tema 1,Ciclos biogeoquímicos,Paleoclimatología
Expert_001,Tema 1,Ciclos biogeoquímicos,Regulación climática
Expert_001,Tema 1,Física oceanográfica,Paleoclimatología
Expert_001,Tema 1,Física oceanográfica,Regulación climática
Expert_001,Tema 1,Paleoclimatología,Regulación climática
Expert_001,Tema 2,Adaptación,Amenazas humanas
Expert_001,Tema 2,Adaptación,Contaminación
Expert_001,Tema 2,Adaptación,Dinámica costera
Expert_001,Tema 2,Adaptación,Impactos del cambio climático
Expert_001,Tema 2,Adaptación,Sobreexplotación
Expert_001,Tema 2,Amenazas humanas,Contaminación
Expert_001,Tema 2,Amenazas humanas,Dinámica costera
Expert_001,Tema 2,Amenazas humanas,Impactos del cambio climático
Expert_001,Tema 2,Amenazas humanas,Sobreexplotación
Expert_001,Tema 2,Contaminación,Dinámica costera
Expert_001,Tema 2,Contaminación,Impactos del cambio climático
Expert_001,Tema 2,Contaminación,Sobreexplotación
Expert_001,Tema 2,Dinámica costera,Impactos del cambio climático
Expert_001,Tema 2,Dinámica costera,Sobreexplotación
Expert_001,Tema 2,Impactos del cambio climático,Sobreexplotación
Expert_001,Tema 3,Conservación,Ecosistemas
Expert_001,Tema 3,Conservación,Pesquerías
Expert_001,Tema 3,Conservación,Sustentabilidad
Expert_001,Tema 3,Conservación,Servicios Ecosistemicos
Expert_001,Tema 3,Ecosistemas,Pesquerías
Expert_001,Tema 3,Ecosistemas,Sustentabilidad
Expert_001,Tema 3,Ecosistemas,Servicios Ecosistemicos
Expert_001,Tema 3,Pesquerías,Sustentabilidad
Expert_001,Tema 3,Pesquerías,Servicios Ecosistemicos
Expert_001,Tema 3,Sustentabilidad,Servicios Ecosistemicos
Expert_001,Tema 4,Acción individual/Estilo de vida sostenible,Mitigación
Expert_001,Tema 5,Aspectos socio-económicos,Conciencia ambiental
Expert_001,Tema 5,Aspectos socio-económicos,Evolución
Expert_001,Tema 5,Conciencia ambiental,Evolución
Expert_002,Tema 1,Acoplamiento clima-océano,Biología del cambio global
Expert_002,Tema 1,Acoplamiento clima-océano,Cambio climático
Expert_002,Tema 1,Acoplamiento clima-océano,Ciclos biogeoquímicos
Expert_002,Tema 1,Acoplamiento clima-océano,Dinámica costera
Expert_002,Tema 1,Acoplamiento clima-océano,Ecosistemas
Expert_002,Tema 1,Acoplamiento clima-océano,Evolución
Expert_002,Tema 1,Acoplamiento clima-océano,Física oceanográfica
Expert_002,Tema 1,Acoplamiento clima-océano,Impactos del cambio climático
Expert_002,Tema 1,Acoplamiento clima-océano,Paleoclimatología
Expert_002,Tema 1,Biología del cambio global,Cambio climático
Expert_002,Tema 1,Biología del cambio global,Ciclos biogeoquímicos
Expert_002,Tema 1,Biología del cambio global,Dinámica costera
Expert_002,Tema 1,Biología del cambio global,Ecosistemas
Expert_002,Tema 1,Biología del cambio global,Evolución
Expert_002,Tema 1,Biología del cambio global,Física oceanográfica
Expert_002,Tema 1,Biología del cambio global,Impactos del cambio climático
Expert_002,Tema 1,Biología del cambio global,Paleoclimatología
Expert_002,Tema 1,Cambio climático,Ciclos biogeoquímicos
Expert_002,Tema 1,Cambio climático,Dinámica costera
Expert_002,Tema 1,Cambio climático,Ecosistemas
Expert_002,Tema 1,Cambio climático,Evolución
Expert_002,Tema 1,Cambio climático,Física oceanográfica
Expert_002,Tema 1,Cambio climático,Impactos del cambio climático
Expert_002,Tema 1,Cambio climático,Paleoclimatología
Expert_002,Tema 1,Ciclos biogeoquímicos,Dinámica costera
Expert_002,Tema 1,Ciclos biogeoquímicos,Ecosistemas
Expert_002,Tema 1,Ciclos biogeoquímicos,Evolución
Expert_002,Tema 1,Ciclos biogeoquímicos,Física oceanográfica
Expert_002,Tema 1,Ciclos biogeoquímicos,Impactos del cambio climático
Expert_002,Tema 1,Ciclos biogeoquímicos,Paleoclimatología
Expert_002,Tema 1,Dinámica costera,Ecosistemas
Expert_002,Tema 1,Dinámica costera,Evolución
Expert_002,Tema 1,Dinámica costera,Física oceanográfica
Expert_002,Tema 1,Dinámica costera,Impactos del cambio climático
Expert_002,Tema 1,Dinámica costera,Paleoclimatología
